Italian,English
non,not
di,from
che,that
è,is
e,And
la,there
il,the
un,a
a,to
per,for
in,in
una,a
mi,me
sono,I am
ho,I have
ma,but
l',L'
lo,the
ha,has
le,the
si,Yes
ti,you
i,the
con,with
cosa,what
se,self
io,I
come,as
da,from
ci,there
no,no
questo,this
qui,here
e',And'
hai,you have
sei,six
del,of the
bene,well
tu,you
sì,Yes
me,myself
più,more
al,to the
mio,my
c',there
perché,because
lei,she
solo,alone
te,you
era,was
gli,the
tutto,everything
della,from the
così,Like this
mia,my
ne,neither
questa,this
fare,do
quando,when
ora,Now
fatto,done
essere,to be
so,so
mai,never
chi,who
o,or
alla,at the
tutti,all
molto,very
dei,of the
anche,also
detto,said
quello,that
va,it goes
niente,nothing
grazie,thank you
lui,he
voglio,I want
abbiamo,we have
stato,state
nel,In the
suo,his
dove,where is it
posso,I can
oh,Oh
prima,first
allora,so
siamo,are
d',d '
uno,one
un',a
sua,her
tuo,your
hanno,they have
noi,we
sta,is
fa,does
due,two
vuoi,do you want
ancora,still
qualcosa,something
vero,real
casa,home
sia,be
su,on
tua,your
sempre,always
forse,maybe
dire,to say
vi,you
loro,they
i',the'
altro,other
sai,you know
stai,you are
devo,I must
quella,that
vita,life
quel,that
delle,from the
tempo,weather
andare,to go
certo,certain
poi,then
nella,in the
uomo,man
signore,man
ad,to
po',bit'
può,can
credo,I believe
voi,you
già,already
adesso,now
andiamo,here we go
anni,years
all',all
visto,view
fuori,out
proprio,own
parte,part
davvero,really
vuole,wants
li,there
dell',dell
sto,I'm
quanto,how much
volta,time
via,Street
sul,on the
é,And
dio,God
sarà,Sara
dopo,after
senza,without
cose,what's this
nessuno,nobody
fai,you do
giorno,day
ed,and
meglio,better
padre,father
puoi,can
ciao,Hello
cos',COS
devi,you have to
ecco,Here you are
qualcuno,someone
dal,from
lavoro,work
sa,knows
ai,to the
vedere,to see
ogni,every
ii,II
troppo,too
posto,place
cui,which
tanto,much
male,bad
dai,come on
ce,there is
bisogno,need
signor,Mr
beh,well
perchè,because
vieni,do you come
alle,at
dalla,from the
stata,was
tra,between
vai,Go
ehi,Hey
miei,my
amico,friend
dice,He says
sarebbe,would be
avete,you have
altra,other
deve,needs to
sulla,on the
qualche,some
sembra,it seems
gente,people
dobbiamo,we have to
modo,way
tre,three
momento,moment
prego,You are welcome
parlare,talk
mamma,mom
guarda,look
signora,Mrs
grande,great
lì,there
madre,mother
possiamo,we can
avanti,forward
avere,to have
successo,success
ero,was
